parent_id,child_id,parent_user,edge_type,source,child_date_unix,parent_date_unix,time_inverted,_removed_reason
37992,24520,Experimental Illness,pool,embedded,1261844220,1341090060.0,True,time_inverted
30689,24373,hello_flowers,pool,embedded,1260814020,1298666220.0,True,time_inverted
35514,24001,DJ Vadim,pool,embedded,1259100540,1327842300.0,True,time_inverted
24302,23818,vincent sermonne,pool,embedded,1258242360,1260500640.0,True,time_inverted
37736,23863,Freed,pool,embedded,1258474920,1339768920.0,True,time_inverted
29213,23716,laurent,pool,embedded,1257839460,1289245980.0,True,time_inverted
25180,23564,suonho,pool,embedded,1257321960,1265501580.0,True,time_inverted
35514,23551,DJ Vadim,pool,embedded,1257313380,1327842300.0,True,time_inverted
37527,23403,Jace,pool,embedded,1256580060,1338424020.0,True,time_inverted
25853,23217,FreqMan,pool,embedded,1255733220,1268931840.0,True,time_inverted
37243,23217,StrangeHeadSounds,pool,embedded,1255733220,1336940700.0,True,time_inverted
37200,23187,creek23,pool,embedded,1255660260,1336714920.0,True,time_inverted
31805,23204,Robinhood76,pool,embedded,1255705380,1305030480.0,True,time_inverted
35176,23204,anamorphosis,pool,embedded,1255705380,1325823300.0,True,time_inverted
37193,23173,NoiseCollector,pool,embedded,1255558560,1336664160.0,True,time_inverted
25601,23174,eric5335,pool,embedded,1255558860,1267537320.0,True,time_inverted
35514,23180,DJ Vadim,pool,embedded,1255629600,1327842300.0,True,time_inverted
23108,23106,tazzista,local,embedded,1255245900,1255250220.0,True,time_inverted
34693,22990,DJ Vadim,pool,embedded,1254657720,1322923200.0,True,time_inverted
36919,22902,NoiseCollector,pool,embedded,1254181920,1335385980.0,True,time_inverted
36920,22902,bcjordan,pool,embedded,1254181920,1335386880.0,True,time_inverted
36923,22902,Corsica_S,pool,embedded,1254181920,1335409800.0,True,time_inverted
36773,22769,Jovica,pool,embedded,1253471160,1334566920.0,True,time_inverted
33650,22764,morgantj,pool,embedded,1253441640,1316852820.0,True,time_inverted
23359,22695,Tito Lahaye,pool,embedded,1252955520,1256396880.0,True,time_inverted
36033,22662,Canconier,pool,embedded,1252699440,1330601100.0,True,time_inverted
36689,22616,xserra,pool,embedded,1252440660,1333902060.0,True,time_inverted
36690,22616,Tgreenfi08,pool,embedded,1252440660,1333903680.0,True,time_inverted
36692,22617,gurkboll,pool,embedded,1252467600,1333926360.0,True,time_inverted
34693,22469,DJ Vadim,pool,embedded,1251673560,1322923200.0,True,time_inverted
36544,22423,NoiseCollector,pool,embedded,1251387540,1333094520.0,True,time_inverted
32231,22385,laya,pool,embedded,1251258540,1308197160.0,True,time_inverted
32427,22385,Flick3r,pool,embedded,1251258540,1309651620.0,True,time_inverted
29809,22393,Noise Cuisine,pool,embedded,1251270240,1293208560.0,True,time_inverted
